"","sitefail","lonfail","latfail","comidfail"
"1","21VASWCB-MCB4.4",-76.36,38.4131,NA
"2","MDDNR-CB2.1",-76.025993,39.44149,NA
"3","MDDNR-CB2.2",-76.175789,39.348732,NA
"4","MDDNR-CB3.1",-76.240501,39.2495,NA
"5","MDDNR-CB3.2",-76.306313,39.163692,NA
"6","MDDNR-CB3.3C",-76.359673,38.995956,NA
"7","MDDNR-CB3.3E",-76.345169,39.004116,NA
"8","MDDNR-CB3.3W",-76.3881,39.00462,NA
"9","MDDNR-CB4.1C",-76.399452,38.825928,NA
"10","MDDNR-CB4.1E",-76.371437,38.818092,NA
"11","MDDNR-CB4.1W",-76.462715,38.81498,NA
"12","MDDNR-CB4.2C",-76.421265,38.646183,NA
"13","MDDNR-CB4.2E",-76.401314,38.644985,NA
"14","MDDNR-CB4.2W",-76.502167,38.643539,NA
"15","MDDNR-CB4.3C",-76.42794,38.555054,NA
"16","MDDNR-CB4.3E",-76.391212,38.55624,NA
"17","MDDNR-CB4.3W",-76.494019,38.557281,NA
"18","MDDNR-CB4.4",-76.34565,38.414574,NA
"19","MDDNR-CB5.1",-76.292145,38.318699,NA
"20","MDDNR-CB5.1W",-76.3757,38.3252,NA
"21","MDDNR-CB5.2",-76.227867,38.137051,NA
"22","MDDNR-CB5.3",-76.171371,37.910114,NA
"23","MDDNR-EE1.1",-76.2515,38.88,NA
"24","MDDNR-EE2.1",-76.2643,38.6549,NA
"25","MDDNR-EE2.2",-76.3041,38.5261,NA
"26","MDDNR-EE3.0",-76.0103,38.2809,NA
"27","MDDNR-EE3.1",-75.9732,38.1969,NA
"28","MDDNR-EE3.2",-75.9242,37.9814,NA
"29","MDDNR-EE3.3",-75.8015,37.9145,NA
"30","MDDNR-XGG8251",-76.247335,38.971126,NA
"31","MDE_FIELDSERVICES_WQX-XIG5333",-76.274217,39.262067,NA
"32","MDDNR-ET1.1",-75.9678,39.5698,NA
"33","CT_DEP01_WQX-A4",-73.73,40.87,NA
"34","CT_DEP01_WQX-B3",-73.64,40.92,NA
"35","CT_DEP01_WQX-D3",-73.411333,40.993833,NA
"36","CT_DEP01_WQX-E1",-73.29,41.02,NA
"37","CT_DEP01_WQX-F3",-73.14,41.02,NA
"38","CT_DEP01_WQX-H6",-72.91,41.03,NA
"39","CT_DEP01_WQX-M3",-72.05,41.24,NA
"40","11NPSWRD_WQX-CRLA_LTLMP_ST13",-122.083,42.9558,-258255
"41","KINGCOUNTY-NSEX01",-122.3871,47.35862,NA
"42","EPA_GLNPO-MI11",-87.0001615,42.3965762,NA
"43","EPA_GLNPO-MI17",-87.4167861,42.7333434,NA
"44","EPA_GLNPO-MI18M",-87.0001045,42.7333481,NA
"45","EPA_GLNPO-MI19",-86.6186393,42.853526,NA
"46","EPA_GLNPO-MI23",-86.9999113,43.1335261,NA
"47","EPA_GLNPO-MI27M",-86.9569523,43.6029263,NA
"48","EPA_GLNPO-MI32",-87.2334996,44.1400828,NA
"49","EPA_GLNPO-MI34",-86.7666268,44.0901875,NA
"50","EPA_GLNPO-MI40",-86.9665447,44.7599398,NA
"51","EPA_GLNPO-MI41M",-86.7428846,44.7692392,NA
"52","EPA_GLNPO-MI47",-86.3925809,45.1780575,NA
"53","EPA_GLNPO-SU01M",-85.1619198,46.9929484,NA
"54","EPA_GLNPO-SU04",-86.3481415,47.2590875,NA
"55","EPA_GLNPO-SU08M",-86.8415711,47.5446214,NA
"56","EPA_GLNPO-SU16",-89.4630573,47.621445,NA
"57","EPA_GLNPO-SU17M",-89.6604525,47.1646497,NA
"58","21FLSFWM-S18C",-80.5250597,25.3306725,NA
"59","21FLSFWM-S18CN",-80.524835,25.3506047,NA
"60","21FLSFWM-S190",-80.9678422,26.2839708,NA
"61","21FLSFWM-S191",-80.7625558,27.1919911,NA
"62","21FLSFWM-S2",-80.7133569,26.6996697,NA
"63","21FLSFWM-S3",-80.8072811,26.6989544,NA
"64","21FLSFWM-S308C",-80.6210272,26.9852981,NA
"65","21FLSFWM-S319",-80.3261208,26.6819264,NA
"66","21FLSFWM-S331-173",-80.5090558,25.6116111,NA
"67","21FLSFWM-S332",-80.5897825,25.4217808,NA
"68","21FLSFWM-S332D",-80.5625928,25.4840403,NA
"69","EPA_GLNPO-ER30",-81.2041787,42.429998,NA
"70","EPA_GLNPO-ER31",-81.1072846,42.253501,NA
"71","EPA_GLNPO-ER32",-81.0118478,42.0816063,NA
"72","EPA_GLNPO-ER36",-81.4757674,41.9376917,NA
"73","EPA_GLNPO-ER37",-81.5746532,42.0952252,NA
"74","EPA_GLNPO-ER38",-81.6650092,42.2671889,NA
"75","EPA_GLNPO-ER42",-82.0462325,41.9633887,NA
"76","EPA_GLNPO-ER43",-81.9491696,41.7997061,NA
"77","EPA_GLNPO-ER73",-81.7492105,41.9776817,NA
"78","EPA_GLNPO-ER78M",-81.2503511,42.1081888,NA
"79","EPA_GLNPO-HU06",-82.0383576,43.4666222,NA
"80","EPA_GLNPO-HU09",-82.3032728,43.6323946,NA
"81","EPA_GLNPO-HU12",-82.0761804,43.8902299,NA
"82","EPA_GLNPO-HU15M",-82.3520372,44.0008641,NA
"83","EPA_GLNPO-HU27",-82.5034592,44.1983908,NA
"84","EPA_GLNPO-HU32",-82.3414369,44.4531315,NA
"85","EPA_GLNPO-HU93",-82.1226034,44.0984245,NA
"86","EPA_GLNPO-HU37",-82.7824518,44.7616676,NA
"87","EPA_GLNPO-HU38",-82.098736,44.7344216,NA
"88","EPA_GLNPO-HU45M",-82.9859993,45.1176045,NA
"89","EPA_GLNPO-HU48",-82.4584199,45.2783409,NA
"90","EPA_GLNPO-HU53",-82.9151945,45.4499255,NA
"91","EPA_GLNPO-HU54M",-83.4616733,45.5166828,NA
"92","EPA_GLNPO-HU61",-83.9166368,45.7504461,NA
"93","21VASWCB-MCB4.4",-76.36,38.4131,NA
"94","CBP_WQX-707O",-76.1252,37.1193,NA
"95","CBP_WQX-724R",-76.0763,37.3937,NA
"96","CBP_WQX-804C",-76.2113,38.064,NA
"97","CBP_WQX-818P",-76.2899,38.3065,NA
"98","CBP_WQX-834F",-76.4363,38.5593,NA
"99","CBP_WQX-848E",-76.4108,38.8043,NA
"100","CBP_WQX-858C",-76.38,38.9621,NA
"101","CBP_WQX-909",-76.3275,39.1454,NA
"102","MDDNR-CB2.1",-76.025993,39.44149,NA
"103","MDDNR-CB2.2",-76.175789,39.348732,NA
"104","MDDNR-CB3.1",-76.240501,39.2495,NA
"105","MDDNR-CB3.2",-76.306313,39.163692,NA
"106","MDDNR-CB3.3C",-76.359673,38.995956,NA
"107","MDDNR-CB3.3E",-76.345169,39.004116,NA
"108","MDDNR-CB3.3W",-76.3881,39.00462,NA
"109","MDDNR-CB4.1C",-76.399452,38.825928,NA
"110","MDDNR-CB4.1E",-76.371437,38.818092,NA
"111","MDDNR-CB4.1W",-76.462715,38.81498,NA
"112","MDDNR-CB4.2C",-76.421265,38.646183,NA
"113","MDDNR-CB4.2E",-76.401314,38.644985,NA
"114","MDDNR-CB4.2W",-76.502167,38.643539,NA
"115","MDDNR-CB4.3C",-76.42794,38.555054,NA
"116","MDDNR-CB4.3E",-76.391212,38.55624,NA
"117","MDDNR-CB4.3W",-76.494019,38.557281,NA
"118","MDDNR-CB4.4",-76.34565,38.414574,NA
"119","MDDNR-CB5.1",-76.292145,38.318699,NA
"120","MDDNR-CB5.1W",-76.3757,38.3252,NA
"121","MDDNR-CB5.2",-76.227867,38.137051,NA
"122","MDDNR-CB5.3",-76.171371,37.910114,NA
"123","MDDNR-EE1.1",-76.2515,38.88,NA
"124","MDDNR-EE2.1",-76.2643,38.6549,NA
"125","MDDNR-EE2.2",-76.3041,38.5261,NA
"126","MDDNR-EE3.0",-76.0103,38.2809,NA
"127","MDDNR-EE3.1",-75.9732,38.1969,NA
"128","MDDNR-EE3.2",-75.9242,37.9814,NA
"129","MDDNR-EE3.3",-75.8015,37.9145,NA
"130","MDDNR-XGG8251",-76.247335,38.971126,NA
"131","EPA_GLNPO-ER09",-79.796769,42.5541355,NA
"132","EPA_GLNPO-ER10",-79.6546426,42.6800434,NA
"133","EPA_GLNPO-ER15M",-79.8929265,42.5005539,NA
"134","EPA_GLNPO-ER63",-79.8015548,42.4168096,NA
"135","EPA_GLNPO-ON12",-79.5148635,43.5882732,NA
"136","EPA_GLNPO-ON25",-79.0800066,43.5164356,NA
"137","EPA_GLNPO-ON33M",-78.8429237,43.5966018,NA
"138","EPA_GLNPO-ON41",-77.9924017,43.7148137,NA
"139","EPA_GLNPO-ON49",-77.438387,43.7657372,NA
"140","EPA_GLNPO-ON55M",-77.4384263,43.4312942,NA
"141","EPA_GLNPO-ON60",-77.2027464,43.5800025,NA
"142","EPA_GLNPO-ON63",-77.1735563,43.7947661,NA
"143","MDDNR-ET1.1",-75.9678,39.5698,NA
"144","CT_DEP01_WQX-A4",-73.73,40.87,NA
"145","CT_DEP01_WQX-B3",-73.64,40.92,NA
"146","CT_DEP01_WQX-D3",-73.411333,40.993833,NA
"147","CT_DEP01_WQX-E1",-73.29,41.02,NA
"148","CT_DEP01_WQX-F3",-73.14,41.02,NA
"149","CT_DEP01_WQX-H6",-72.91,41.03,NA
"150","CT_DEP01_WQX-M3",-72.05,41.24,NA
